Page Number,Page's Digital Library URL ,Unpaid Letters received: Dwt. ,Unpaid Letters received: Grs. ,Way Letters received: Dwt. ,Way Letters received: Grs. ,Undercharged from other Offices: Dwt. ,Undercharged from other Offices: Grs. ,Overcharged from other Offices: Dwt. ,Overcharged from other Offices: Grs. ,Paid Letters from other Offices: Dwt. ,Paid Letters from other Offices: Grs. ,Forwarded to other other Offices being missent: Dwt. ,Forwarded to other offices being missent: Grs. ,Number paid for,Belonging to this Office only: Dwt. ,Belonging to this Office only: Grs.
1,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30001,2333,,30,,6,16,53,8,94,16,93,8,23,,
2,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30002,679,8,38,,11,8,2,16,114,,52,,139,,
3,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30003,608,8,66,,10,8,8,,64,,16,16,56,,
4,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30004,468,16,28,16,273,8,2,16,133,,49,8,,,
5,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30005-0,558,16,25,8,3,,2,,52,,34,16,50,,
6,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30006-0,654,,26,16,14,,2,16,119,8,108,16,32,,
7,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30007-0,372,16,16,,16,8,,,57,8,27,,52,,
8,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30008-0,651,,40,,31,16,,,66,16,16,1,19,,
9,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30009,547,8,10,8,33,8,4,,60,,30,16,25,,
10,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30010,442,8,28,16,18,,6,16,40,,29,,26,,
11,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30011,594,,56,,30,16,,,132,,38,,49,,
12,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30012,2012,,10,16,14,,12,,69,19,82,16,17,,
13,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30013,644,,70,,30,16,,,133,,41,8,,,
14,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30014,594,16,61,8,11,8,5,8,96,16,8,16,118,,
15,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30015,677,8,4,16,45,8,,,181,8,24,,,,
16,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30016,312,16,17,8,14,16,,,76,16,2,16,55,,
17,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30017,698,,11,8,40,,,,72,,38,16,,,
18,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30018,2025,16,11,8,16,,,,73,8,36,,52,,
19,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30019,459,,33,8,31,8,,,,,3,8,,,
20,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30020,1357,8,53,8,10,,2,16,,,76,8,141,,
21,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30021,606,,30,16,24,,,,,,26,,,,
22,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30022,1284,,32,,4,16,6,16,,,,44,,153,
23,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30023,542,16,16,16,14,16,,,,,30,,21,,
24,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30024,611,8,19,8,32,,2,,,,12,,35,,
25,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30025,580,,16,16,26,,,,,,42,,,,
26,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30026,594,16,20,,14,,2,16,,,34,16,,,
27,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30027,511,16,50,,13,8,,,,,10,16,94,,
28,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30028,480,,60,,21,8,,,,,23,8,22,,
29,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30029,345,,16,,26,16,8,,,,31,16,26,,
30,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30030,909,8,70,16,15,8,,,,,99,8,79,,
33,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30033,2630,,45,8,20,,18,,,,34,16,,,
34,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30034,3615,16,37,8,34,,,,,,158,,,,
35,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30035,1012,8,47,16,28,8,2,,,,17,,18,,
36,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30036,580,16,16,,25,8,,,,,37,8,,,
37,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30037,823,16,48,16,16,,4,,,,40,16,205,,
38,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30038,3415,16,44,,46,8,6,,,,19,,,,
39,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30039,579,,42,16,37,8,,,,,52,16,94,,
40,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30040,1804,16,43,16,10,106,16,,,,64,,,,
41,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30041,68,,3,8,6,,,,,,1,8,7,,
42,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30042,359,,240,,9,8,,,,,7,8,,,
43,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30043,568,16,13,8,39,16,4,,,,24,,,,
44,https://diglib.amphilsoc.org/islandora/object/b-f86f6-30044,2826,,13,8,20,,36,16,,,24,16,43,,