Page Number,Page's Digital Library URL,Pounds (Page Total Amount Due),Shillings (Page Total Amount Due),Pence (Page Total Amount Due),Notes,Transcriber's Notes
5,https://diglib.amphilsoc.org/islandora/object/bf1743005,36,15,1,,Removed from Dataset A (sorting ID 11)
6,https://diglib.amphilsoc.org/islandora/object/bf1743006,5,9,6,,Removed from Dataset A (sorting ID 17)
7,https://diglib.amphilsoc.org/islandora/object/bf1743007,7,1,1,,Removed from Dataset A (sorting ID 28)
8,https://diglib.amphilsoc.org/islandora/object/bf1743008,5,8,10,,Removed from Dataset A (sorting ID 41)
9,https://diglib.amphilsoc.org/islandora/object/bf1743009,11,7,6,,Removed from Dataset A (sorting ID 53)
10,https://diglib.amphilsoc.org/islandora/object/bf1743010,5,15,11,,Removed from Dataset A (sorting ID 66)
11,https://diglib.amphilsoc.org/islandora/object/bf1743011,3,7,8,,Removed from Dataset A (sorting ID 80)
12,https://diglib.amphilsoc.org/islandora/object/bf1743012,11,1,7,,Removed from Dataset A (sorting ID 94)
13,https://diglib.amphilsoc.org/islandora/object/bf1743013,11,8,11,,Removed from Dataset A (sorting ID 103)
14,https://diglib.amphilsoc.org/islandora/object/bf1743014,3,18,0,,Removed from Dataset A (sorting ID 117)
15,https://diglib.amphilsoc.org/islandora/object/bf1743015,8,1,9,,Removed from Dataset A (sorting ID 129)
16,https://diglib.amphilsoc.org/islandora/object/bf1743016,6,16,4,,Removed from Dataset A (sorting ID 140)
17,https://diglib.amphilsoc.org/islandora/object/bf1743017,6,9,1,,Removed from Dataset A (sorting ID 153)
18,https://diglib.amphilsoc.org/islandora/object/bf1743018,6,10,6,,Removed from Dataset A (sorting ID 166)
19,https://diglib.amphilsoc.org/islandora/object/bf1743019,5,8,9,,Removed from Dataset A (sorting ID 177)
20,https://diglib.amphilsoc.org/islandora/object/bf1743020,13,17,7,,Removed from Dataset A (sorting ID 186)
21,https://diglib.amphilsoc.org/islandora/object/bf1743021,31,15,2,,Removed from Dataset A (sorting ID 197)
22,https://diglib.amphilsoc.org/islandora/object/bf1743022,34,14,1,,Removed from Dataset A (sorting ID 209)
23,https://diglib.amphilsoc.org/islandora/object/bf1743023,18,14,5,,Removed from Dataset A (sorting ID 220)
24,https://diglib.amphilsoc.org/islandora/object/bf1743024,12,12,3,,Removed from Dataset A (sorting ID 230)
25,https://diglib.amphilsoc.org/islandora/object/bf1743025,6,10,0,,Removed from Dataset A (sorting ID 240)
26,https://diglib.amphilsoc.org/islandora/object/bf1743026,49,19,6,,Removed from Dataset A (sorting ID 252)
27,https://diglib.amphilsoc.org/islandora/object/bf1743027,15,5,4,,Removed from Dataset A (sorting ID 264)
28,https://diglib.amphilsoc.org/islandora/object/bf1743028,4,2,4,,Removed from Dataset A (sorting ID 275)
29,https://diglib.amphilsoc.org/islandora/object/bf1743029,6,13,8,,Removed from Dataset A (sorting ID 287)
30,https://diglib.amphilsoc.org/islandora/object/bf1743030,4,8,3,,Removed from Dataset A (sorting ID 299)
31,https://diglib.amphilsoc.org/islandora/object/bf1743031,32,2,8,,Removed from Dataset A (sorting ID 311)
32,https://diglib.amphilsoc.org/islandora/object/bf1743032,5,9,5,,Removed from Dataset A (sorting ID 324)
33,https://diglib.amphilsoc.org/islandora/object/bf1743033,10,15,6,,Removed from Dataset A (sorting ID 334)
34,https://diglib.amphilsoc.org/islandora/object/bf1743034,14,10,11,,Removed from Dataset A (sorting ID 345)
35,https://diglib.amphilsoc.org/islandora/object/bf1743035,10,19,5,,Removed from Dataset A (sorting ID 356)
36,https://diglib.amphilsoc.org/islandora/object/bf1743036,4,2,6,,Removed from Dataset A (sorting ID 368)
37,https://diglib.amphilsoc.org/islandora/object/bf1743037,5,15,2,,Removed from Dataset A (sorting ID 374)